group,bay,reserved_size,capacity
1,01D,20,F
1,02D,40,
1,03D,20,F
2,05D,20,
2,06D,40,A
2,07D,20,
3,09D,20,
3,10D,40,
3,11D,20,
4,13D,20,
4,14D,40,
4,15D,20,
5,17D,20,
5,18D,40,
5,19D,20,
6,21D,20,
6,22D,40,
6,23D,20,
7,25D,20,
7,26D,40,
7,27D,20,
8,29D,20,
8,30D,40,
8,31D,20,
9,33D,20,
9,34D,40,
9,35D,20,
10,37D,20,
10,38D,40,
10,39D,20,
11,41D,20,
11,42D,40,
11,43D,20,
12,45D,20,
12,46D,40,
12,47D,20,
13,49D,20,
13,50D,40,
13,51D,20,
14,53D,20,
14,54D,40,
14,55D,20,
15,57D,20,
15,58D,40,
15,59D,20,
16,61D,20,
16,62D,40,
16,63D,20,
17,65D,20,
17,66D,40,
17,67D,20,
18,69D,20,
18,70D,40,
18,71D,20,
19,73D,20,
19,74D,40,
19,75D,20,
20,01H,20,
20,02H,40,
20,03H,20,
21,05H,20,
21,06H,40,
21,07H,20,
22,09H,20,
22,10H,40,
22,11H,20,
23,13H,20,
23,14H,40,
23,15H,20,
24,17H,20,
24,18H,40,
24,19H,20,
25,21H,20,
25,22H,40,
25,23H,20,
26,25H,20,
26,26H,40,
26,27H,20,
27,29H,20,
27,30H,40,
27,31H,20,
28,33H,20,
28,34H,40,
28,35H,20,
29,37H,20,
29,38H,40,
29,39H,20,
30,41H,20,
30,42H,40,
30,43H,20,
31,45H,20,
31,46H,40,
31,47H,20,
32,49H,20,
32,50H,40,
32,51H,20,
33,53H,20,
33,54H,40,
33,55H,20,
34,57H,20,
34,58H,40,
34,59H,20,
35,61H,20,
35,62H,40,
35,63H,20,
36,65H,20,
36,66H,40,
36,67H,20,
37,69H,20,
37,70H,40,
37,71H,20,
38,73H,20,
38,74H,40,
38,75H,20,
